,Fabrication,Physical and Embedded computing,Visual computing and Digital Design,Data and computing,Business Management,Entrepreneurship,Design,Cluster,Token
Prototyping,0.6195498,0.8075189,0.7171098,0.7620214,0.7981962,0.72933394,0.6287227,Physical and Embedded computing,Prototyping
UX Design,0.76817524,0.8263274,0.70966876,0.84607196,0.7161481,0.793715,0.52910006,Data and computing,UX Design
UI Design,0.81513697,0.8509468,0.5904688,0.843377,0.8433765,0.86102873,0.56699955,Entrepreneurship,UI Design
Product Design,0.6842789,0.8050278,0.6424041,0.76125354,0.5574846,0.6149712,0.45164162,Physical and Embedded computing,Product Design
Branding,0.7692064,0.982108,0.85436726,0.8653708,0.63873285,0.6614187,0.6889266,Physical and Embedded computing,Branding
Interaction Design,0.7884791,0.8220953,0.5420013,0.75063574,0.8186773,0.77375877,0.54049635,Physical and Embedded computing,Interaction Design
Programming,0.84068835,0.68758845,0.7297397,0.5230076,0.74074364,0.7967019,0.748857,Fabrication,Programming
Competitive Analysis,0.8868333,0.9117932,0.86584854,0.83120656,0.56068397,0.6131693,0.7771359,Physical and Embedded computing,Competitive Analysis
Market Analysis,0.9006366,0.93055385,0.8517556,0.7355819,0.50959885,0.6387587,0.75842565,Physical and Embedded computing,Market Analysis
Augmented Reality,0.82474816,0.8081826,0.6456683,0.7004785,0.8498065,0.9089194,0.7891613,Entrepreneurship,Augmented Reality
3D Modeling,0.7525581,0.7553408,0.62992936,0.68842006,0.93296885,0.946995,0.76857793,Entrepreneurship,3D Modeling
Problem solving,0.8912385,0.88599575,0.82459164,0.6917933,0.64243615,0.7385738,0.7676791,Fabrication,Problem solving
Animation,0.75151694,0.8228243,0.6084161,0.7790347,0.89548516,0.88507366,0.777259,Business Management,Animation
Entreprenuership,0.8607993,1.0695585,1.0187283,1.023334,0.58247995,0.4373417,0.89948034,Physical and Embedded computing,Entreprenuership
Marketing,0.904679,0.9805915,0.9926081,0.8672212,0.5190382,0.65582377,0.8486739,Visual computing and Digital Design,Marketing
Database Management,0.9957117,0.80290437,0.8499945,0.5693889,0.65520334,0.8862624,0.82361037,Fabrication,Database Management
Embedded Systems,0.8215381,0.41489255,0.82596296,0.71381295,0.8281356,0.90190333,0.832837,Entrepreneurship,Embedded Systems
Machine Learning,0.8284382,0.74296033,0.7947543,0.4542932,0.81048775,0.8429887,0.83011216,Entrepreneurship,Machine Learning
Collaborative design,0.7593349,0.87266576,0.5982425,0.83712745,0.70903087,0.78344333,0.5291153,Physical and Embedded computing,Collaborative design
Human-centered Design practice,0.7789335,0.77851284,0.6638499,0.72887444,0.69014776,0.7435802,0.55305654,Fabrication,Human-centered Design practice
Storyboarding,0.8353028,0.9384387,0.5301339,0.77798533,0.88641965,0.88419497,0.72256446,Physical and Embedded computing,Storyboarding
Packaging Design,0.6808826,0.8434999,0.7020618,0.876385,0.7441975,0.8314831,0.5304985,Data and computing,Packaging Design
Presentation,0.85781246,0.9052178,0.7497293,0.7182315,0.7899828,0.8393192,0.7711896,Physical and Embedded computing,Presentation
Leadership,0.9511299,1.004132,1.0001085,0.89108217,0.6497379,0.7212173,0.84928465,Physical and Embedded computing,Leadership
